Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
121,(1)CHEAT,(1)CHEAT,(1)CHEAT+,1315,1450,1365,1400,1,B-L,1,B,ASL_2008_01_11_scene71-camera1.mov,Lexical Signs,(1)CHEAT
499,(1)CHEAT,(elbow)CHEAT,(elbow)CHEAT+,216,360,266,310,bent-1,B,bent-1,B,ASL_2008_01_11_scene72-camera1.mov,Lexical Signs,(1)CHEAT
500,(1)CHEAT,(elbow)CHEAT,(elbow)CHEAT+,3210,3352,3260,3302,bent-1,psv,bent-1,psv,ASL_2008_08_04_scene45-camera1.mov,Lexical Signs,(1)CHEAT
207690,(1)CHEAT,(elbow)CHEAT,(elbow)CHEAT+,23013,23138,23063,23088,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov,Lexical Signs,(1)CHEAT
501,(1)CHEAT,(elbow)CHEAT,(elbow)CHEAT++,22661,22807,22711,22757,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov,Lexical Signs,(1)CHEAT
146,(1)WHO,(1)WHO,(1)WHO+,2061,2190,2111,2140,1,,1,,ASL_2008_03_28_scene41-camera1.mov,Lexical Signs,(1)WHO
147,(1)WHO,(1)WHO,(1)WHO++,64,208,114,158,1,,1,,ASL_2011_07_22_Brady_scene30-camera1.mov,Lexical Signs,(1)WHO
39023,(1h)(L-X)INTERESTING+ZERO_2,(1h)(L-X)INTERESTING+ZERO_2,(1h)(L-X)INTERESTING+ZERO_2,1084,1253,1134,1203,L-X,,O,B-L,ASL_2008_02_15_scene21-camera1.mov,Compound Signs,(1h)(L-X)INTERESTING+ZERO_2
39031,(1h)GOOD/THANK-YOU+(1h)MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,843,970,893,920,B-L,,B-L,,ASL_2008_02_01_scene9-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+(1h)MORNING
39032,(1h)GOOD/THANK-YOU+(1h)MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,768,893,818,843,B-L,,B-L,,ASL_2008_05_29a_scene40-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+(1h)MORNING
39033,(1h)GOOD/THANK-YOU+(1h)MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,830,964,880,914,B-L,,B-L,,ASL_2008_08_13_scene8-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+(1h)MORNING
